0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
89.8,84.9,80.7,76.6,71.7,66.6,61.6,57.4,54.5,52.6,51.4,50.8,50.3,50.0,49.9,49.9,50.1,50.4,50.7,50.8,50.8,50.9,51.6,53.3,56.2,60.4,65.8,72.4,80.0,88.5,97.4,106.5,115.6,124.4,132.8,140.7,147.8,154.0,158.9,162.3,164.1,164.7,165.0,165.6,167.1,169.4,172.4,175.6,179.0,181.9,183.7,183.9,182.1,178.7,174.1,169.0,163.7,158.9,154.6,151.5,149.6,148.6,148.0,147.3,146.2,145.0,144.1,144.0,144.9,146.9,150.0,154.0,158.8,164.0,169.2,174.0,177.8,180.5,181.8,181.4,179.3,175.7,171.0,165.6,160.1,155.1,151.1,149.0,148.9,149.6,149.4,146.5,139.8,130.3,119.5,109.0
100.1,92.5,85.9,79.9,74.1,68.7,63.9,59.9,57.0,55.0,53.5,52.4,51.5,50.8,50.2,49.9,49.9,50.0,50.1,49.9,49.5,48.9,48.4,48.3,48.7,49.8,51.9,54.9,59.2,64.9,72.3,81.6,92.9,105.6,119.0,132.3,144.8,156.2,166.0,174.0,180.0,184.6,188.7,193.1,198.3,203.7,208.7,212.2,213.7,212.8,209.0,202.3,192.4,180.9,169.2,159.0,151.4,146.0,141.6,137.3,132.4,127.0,121.6,116.5,112.2,108.9,106.7,105.7,106.1,107.7,110.4,114.0,118.3,123.4,129.2,135.7,142.8,149.8,155.7,159.8,161.4,160.8,159.0,156.5,153.9,151.5,149.3,147.3,145.4,143.0,139.2,133.2,124.4,113.8,102.5,91.6
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
89.8,84.9,80.7,76.6,71.7,66.6,61.6,57.4,54.5,52.6,51.4,50.8,50.3,50.0,49.9,49.9,50.1,50.4,50.7,50.8,50.8,50.9,51.6,53.3,56.2,60.4,65.8,72.4,80.0,88.5,97.4,106.5,115.6,124.4,132.8,140.7,147.8,154.0,158.9,162.3,164.1,164.7,165.0,165.6,167.1,169.4,172.4,175.6,179.0,181.9,183.7,183.9,182.1,178.7,174.1,169.0,163.7,158.9,154.6,151.5,149.6,148.6,148.0,147.3,146.2,145.0,144.1,144.0,144.9,146.9,150.0,154.0,158.8,164.0,169.2,174.0,177.8,180.5,181.8,181.4,179.3,175.7,171.0,165.6,160.1,155.1,151.1,149.0,148.9,149.6,149.4,146.5,139.8,130.3,119.5,109.0
100.1,92.5,85.9,79.9,74.1,68.7,63.9,59.9,57.0,55.0,53.5,52.4,51.5,50.8,50.2,49.9,49.9,50.0,50.1,49.9,49.5,48.9,48.4,48.3,48.7,49.8,51.9,54.9,59.2,64.9,72.3,81.6,92.9,105.6,119.0,132.3,144.8,156.2,166.0,174.0,180.0,184.6,188.7,193.1,198.3,203.7,208.7,212.2,213.7,212.8,209.0,202.3,192.4,180.9,169.2,159.0,151.4,146.0,141.6,137.3,132.4,127.0,121.6,116.5,112.2,108.9,106.7,105.7,106.1,107.7,110.4,114.0,118.3,123.4,129.2,135.7,142.8,149.8,155.7,159.8,161.4,160.8,159.0,156.5,153.9,151.5,149.3,147.3,145.4,143.0,139.2,133.2,124.4,113.8,102.5,91.6
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
89.8,84.9,80.7,76.6,71.7,66.6,61.6,57.4,54.5,52.6,51.4,50.8,50.3,50.0,49.9,49.9,50.1,50.4,50.7,50.8,50.8,50.9,51.6,53.3,56.2,60.4,65.8,72.4,80.0,88.5,97.4,106.5,115.6,124.4,132.8,140.7,147.8,154.0,158.9,162.3,164.1,164.7,165.0,165.6,167.1,169.4,172.4,175.6,179.0,181.9,183.7,183.9,182.1,178.7,174.1,169.0,163.7,158.9,154.6,151.5,149.6,148.6,148.0,147.3,146.2,145.0,144.1,144.0,144.9,146.9,150.0,154.0,158.8,164.0,169.2,174.0,177.8,180.5,181.8,181.4,179.3,175.7,171.0,165.6,160.1,155.1,151.1,149.0,148.9,149.6,149.4,146.5,139.8,130.3,119.5,109.0
100.1,92.5,85.9,79.9,74.1,68.7,63.9,59.9,57.0,55.0,53.5,52.4,51.5,50.8,50.2,49.9,49.9,50.0,50.1,49.9,49.5,48.9,48.4,48.3,48.7,49.8,51.9,54.9,59.2,64.9,72.3,81.6,92.9,105.6,119.0,132.3,144.8,156.2,166.0,174.0,180.0,184.6,188.7,193.1,198.3,203.7,208.7,212.2,213.7,212.8,209.0,202.3,192.4,180.9,169.2,159.0,151.4,146.0,141.6,137.3,132.4,127.0,121.6,116.5,112.2,108.9,106.7,105.7,106.1,107.7,110.4,114.0,118.3,123.4,129.2,135.7,142.8,149.8,155.7,159.8,161.4,160.8,159.0,156.5,153.9,151.5,149.3,147.3,145.4,143.0,139.2,133.2,124.4,113.8,102.5,91.6
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
89.8,84.9,80.7,76.6,71.7,66.6,61.6,57.4,54.5,52.6,51.4,50.8,50.3,50.0,49.9,49.9,50.1,50.4,50.7,50.8,50.8,50.9,51.6,53.3,56.2,60.4,65.8,72.4,80.0,88.5,97.4,106.5,115.6,124.4,132.8,140.7,147.8,154.0,158.9,162.3,164.1,164.7,165.0,165.6,167.1,169.4,172.4,175.6,179.0,181.9,183.7,183.9,182.1,178.7,174.1,169.0,163.7,158.9,154.6,151.5,149.6,148.6,148.0,147.3,146.2,145.0,144.1,144.0,144.9,146.9,150.0,154.0,158.8,164.0,169.2,174.0,177.8,180.5,181.8,181.4,179.3,175.7,171.0,165.6,160.1,155.1,151.1,149.0,148.9,149.6,149.4,146.5,139.8,130.3,119.5,109.0
100.1,92.5,85.9,79.9,74.1,68.7,63.9,59.9,57.0,55.0,53.5,52.4,51.5,50.8,50.2,49.9,49.9,50.0,50.1,49.9,49.5,48.9,48.4,48.3,48.7,49.8,51.9,54.9,59.2,64.9,72.3,81.6,92.9,105.6,119.0,132.3,144.8,156.2,166.0,174.0,180.0,184.6,188.7,193.1,198.3,203.7,208.7,212.2,213.7,212.8,209.0,202.3,192.4,180.9,169.2,159.0,151.4,146.0,141.6,137.3,132.4,127.0,121.6,116.5,112.2,108.9,106.7,105.7,106.1,107.7,110.4,114.0,118.3,123.4,129.2,135.7,142.8,149.8,155.7,159.8,161.4,160.8,159.0,156.5,153.9,151.5,149.3,147.3,145.4,143.0,139.2,133.2,124.4,113.8,102.5,91.6
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
89.8,84.9,80.7,76.6,71.7,66.6,61.6,57.4,54.5,52.6,51.4,50.8,50.3,50.0,49.9,49.9,50.1,50.4,50.7,50.8,50.8,50.9,51.6,53.3,56.2,60.4,65.8,72.4,80.0,88.5,97.4,106.5,115.6,124.4,132.8,140.7,147.8,154.0,158.9,162.3,164.1,164.7,165.0,165.6,167.1,169.4,172.4,175.6,179.0,181.9,183.7,183.9,182.1,178.7,174.1,169.0,163.7,158.9,154.6,151.5,149.6,148.6,148.0,147.3,146.2,145.0,144.1,144.0,144.9,146.9,150.0,154.0,158.8,164.0,169.2,174.0,177.8,180.5,181.8,181.4,179.3,175.7,171.0,165.6,160.1,155.1,151.1,149.0,148.9,149.6,149.4,146.5,139.8,130.3,119.5,109.0
100.1,92.5,85.9,79.9,74.1,68.7,63.9,59.9,57.0,55.0,53.5,52.4,51.5,50.8,50.2,49.9,49.9,50.0,50.1,49.9,49.5,48.9,48.4,48.3,48.7,49.8,51.9,54.9,59.2,64.9,72.3,81.6,92.9,105.6,119.0,132.3,144.8,156.2,166.0,174.0,180.0,184.6,188.7,193.1,198.3,203.7,208.7,212.2,213.7,212.8,209.0,202.3,192.4,180.9,169.2,159.0,151.4,146.0,141.6,137.3,132.4,127.0,121.6,116.5,112.2,108.9,106.7,105.7,106.1,107.7,110.4,114.0,118.3,123.4,129.2,135.7,142.8,149.8,155.7,159.8,161.4,160.8,159.0,156.5,153.9,151.5,149.3,147.3,145.4,143.0,139.2,133.2,124.4,113.8,102.5,91.6
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
86.3,76.9,68.8,62.4,58.0,55.3,53.6,52.4,51.3,50.3,49.2,48.3,47.5,46.9,46.5,46.6,47.1,48.0,49.3,50.8,52.7,55.6,60.5,68.2,79.2,92.0,104.7,115.7,123.5,128.6,132.0,134.8,137.8,140.7,143.2,144.8,145.3,144.9,143.8,142.3,140.8,139.5,138.5,138.2,138.6,140.1,142.6,146.5,151.5,156.7,160.7,162.3,160.5,156.1,150.2,144.0,138.4,133.6,129.4,125.7,122.4,119.6,117.4,115.7,114.6,114.2,114.6,115.7,117.6,120.3,123.9,128.2,133.2,138.9,145.1,151.5,157.9,163.8,168.3,170.6,170.4,168.3,165.3,162.3,160.1,158.4,156.8,154.8,151.9,147.9,142.5,135.7,127.2,117.5,107.1,96.5
